treecut2sat k100 100 4950 99
treecut2sat k101 101 5050 100
treecut2sat k102 102 5151 101
treecut2sat k103 103 5253 102
treecut2sat k104 104 5356 103
treecut2sat k105 105 5460 104
treecut2sat k106 106 5565 105
treecut2sat k107 107 5671 106
treecut2sat k108 108 5778 107
treecut2sat k109 109 5886 108
treecut2sat k10 10 45 9 10 0 0 False 3.77710080147 0.0043830871582 10 1 1.83386087418 1.85539340973 0.054633140564 0.0984780788422 0.136574029922 0.165161132812 0.202204942703 0.230930089951 0.281408071518 0.354362010956 0.33164191246 10
treecut2sat k110 110 5995 109
treecut2sat k111 111 6105 110
treecut2sat k112 112 6216 111
treecut2sat k113 113 6328 112
treecut2sat k11 11 55 10 11 0 0 False 7.58086895943 0.00514197349548 11 1 3.33930420876 4.11149168015 0.0874390602112 0.20006108284 0.238810777664 0.297257900238 0.384568929672 0.499660015106 0.476683855057 0.594375133514 0.764297008514 0.568337917328 11
treecut2sat k12 12 66 11 12 0 0 False 10.8184509277 0.00709199905396 12 1 4.76482987404 5.88767457008 0.118149995804 0.250597000122 0.294335126877 0.390695810318 0.459603071213 0.544018030167 0.56104016304 0.707139968872 0.727510213852 1.0028231144 0.831762075424 12
treecut2sat k13 13 78 12 13 0 0 False 18.4247839451 0.00815606117249 13 1 7.6236269474 10.5366036892 0.141822814941 0.323055028915 0.438713788986 0.509526014328 0.656482934952 0.766172170639 0.878579139709 1.00931191444 1.22638297081 1.41453289986 1.96048212051 1.2115418911 13
treecut2sat k14 14 91 13 14 0 0 False 31.1494750977 0.00965404510498 14 1 11.9073741436 18.8164494038 0.231261014938 0.442538022995 0.580403089523 0.755628108978 0.883172035217 1.00718402863 1.3203098774 1.72120308876 1.75906705856 2.37281107903 2.30369591713 3.40193510056 2.03724098206 14
treecut2sat k15 15 105 14 15 0 0 False 64.1634328365 0.018070936203 15 1 28.4129638672 35.1356980801 0.350762844086 0.69381403923 0.914567947388 1.18868494034 1.4439201355 1.81554412842 2.09114408493 2.49265909195 2.904047966 3.26141405106 3.64122700691 4.511302948 6.45845293999 3.36815595627 15
treecut2sat k16 16 120 15 16 0 0 False 98.1206898689 0.0214378833771 16 1 43.2079591751 54.0634989738 0.463474035263 0.907444953918 1.22870492935 1.57821011543 1.94484591484 2.29244112968 2.79442977905 3.24414396286 3.78700399399 4.42618894577 5.10417699814 5.92721009254 6.7627120018 8.70427298546 4.89823913574 16
treecut2sat k17 17 136 16 17 0 0 False 145.008454084 0.024973154068 17 1 59.3758990765 84.5160450935 0.594395160675 1.21580791473 1.6031229496 2.14359498024 2.77121090889 3.03918004036 3.68263196945 4.19392490387 5.07557201385 5.81751418114 6.88969516754 8.03418397903 8.73783588409 10.3429079056 13.449630022 6.92483711243 17
treecut2sat k18 18 153 17 18 0 0 False 216.232069969 0.0299189090729 18 1 86.1112093925 128.600082874 0.762356996536 1.50649785995 2.03021001816 2.60482406616 3.2964861393 3.95332384109 4.71050596237 5.28775191307 6.61092305183 7.67008805275 8.62936306 9.44880509377 12.3291749954 13.7084817886 15.4257478714 20.947478056 9.67806410789 18
treecut2sat k19 19 171 18 19 0 0 False 231.180056095 0.0228071212769 19 1 76.0822412968 153.603537321 0.729779005051 1.40448093414 2.38498806953 2.80520820618 3.38921308517 4.51439809799 5.26557898521 5.24095892906 7.31784510612 7.02433300018 8.94655394554 10.1357991695 11.453193903 14.3322920799 16.4407498837 17.0567040443 24.842979908 10.3184809685 19
treecut2sat k20 20 190 19 20 0 0 False 310.806269169 0.0282161235809 20 1 96.9972367287 211.993999004 1.04570198059 1.95864605904 2.73118805885 3.37338709831 4.30462312698 5.18978309631 6.04932117462 6.76911592484 7.5368142128 10.2542140484 10.4246730804 12.911495924 13.359347105 14.9854929447 19.9702730179 19.5996739864 23.5264790058 33.9393889904 14.0643801689 20
treecut2sat k21 21 210 20 21 0 0 False 433.610502958 0.0311739444733 21 1 135.671266079 295.514674187 1.22393608093 2.23347592354 3.38209199905 4.20196580887 5.28970003128 5.95738101006 8.01452302933 8.12356996536 10.0234820843 10.8932919502 13.3152041435 14.9897561073 15.7479100227 21.0393249989 22.6949338913 25.1311330795 30.4277369976 31.6657829285 44.0006051064 17.1588690281 21
treecut2sat k22 22 231 21 22 0 0 False 549.632261038 0.0409920215607 22 1 175.116511822 371.496328354 1.44633507729 2.92659091949 4.02848601341 5.28959608078 6.55441498756 7.52597403526 8.6072640419 10.2178030014 11.4392101765 14.3192520142 14.2872960567 16.9863479137 19.6438810825 22.2873539925 25.0077049732 30.6132531166 32.5805950165 35.456253767 37.0772130489 59.6572880745 5.54421496391 22
treecut2sat k23 23 253 22 23 0 0 False 917.439486027 0.0483779907227 23 1 231.781898499 681.849589348 2.21043920517 3.73335695267 5.02161407471 6.4286339283 8.71940994263 9.17870283127 11.3848400116 12.9185211658 14.4665739536 16.2803959846 20.516949892 22.4478170872 25.9724237919 26.9735109806 33.6488471031 40.0062098503 64.6713500023 60.7938859463 66.739372015 105.228196859 117.13724494 7.37129282951 23
treecut2sat k24 24 276 23 24 0 0 False 1374.18148422 0.0482859611511 24 1 296.151104212 1073.63162231 1.9283490181 4.56275892258 6.61174201965 8.08835101128 8.96751189232 11.3227620125 13.860681057 14.9033207893 17.9405579567 19.5277140141 21.9706230164 25.6587641239 28.1339719296 47.0299890041 71.6060380936 58.5025579929 74.7780258656 128.397635937 109.651602983 112.688062906 102.069281816 177.148875952 8.28244400024 24
