treecut2sat c10x10 20 100 10 18 0 0 False 189.078669071 0.0149199962616 20 1 42.9629144669 145.165954351 0.54602098465 1.25232696533 2.03458404541 2.83075690269 3.81298494339 3.8027908802 4.37452316284 6.26900601387 6.8822851181 8.26045608521 10.6922330856 11.8380088806 16.288228035 18.7098271847 19.2621791363 21.4661879539 6.8435549736 20
treecut2sat c11x11 22 121 11 20 0 0 False 368.143646955 0.0191020965576 22 1 71.1600358486 295.6096766 0.936450958252 1.81660485268 2.66104197502 3.65469789505 5.12624502182 5.24905991554 6.72610998154 7.0298500061 8.22471380234 12.206840992 16.9212200642 18.3113269806 22.3151180744 27.1759250164 30.1688969135 32.2871558666 40.0566630363 44.4754052162 10.2663500309 22
treecut2sat c12x12 24 144 12 22 0 0 False 833.636421919 0.03493309021 24 1 186.872587204 643.917951822 1.2579870224 3.13880491257 4.87946796417 6.2609629631 8.08515310287 10.2162570953 11.9209859371 13.512586832 15.9871819019 18.5266571045 25.8194200993 31.1538360119 36.3104219437 40.7624568939 46.5673902035 56.2014660835 62.9511458874 67.1745250225 79.8433260918 85.6345398426 17.7133789062 24
treecut2sat c13x13 26 169 13 24 0 0 False 1540.67316699 0.0420520305634 26 1 204.440728664 1332.87238646 1.59172511101 3.49379587173 5.7040169239 7.64433193207 9.84849405289 11.1452219486 14.1877439022 18.8699378967 21.8397789001 25.0632679462 29.0101721287 39.8067150116 52.1358258724 57.1172189713 66.273982048 73.9444999695 86.6490180492 92.4989089966 138.283051014 166.562358856 179.235459089 205.474185944 26.4926760197 26
treecut2sat c14x14 28 196 14 26 0 0 False 2871.46627903 0.0354390144348 28 1 307.958721876 2558.65245342 2.08558392525 5.17551612854 7.96377491951 10.546145916 12.4505498409 14.3326361179 21.1055221558 26.4366500378 28.5717070103 36.6827991009 33.884180069 43.572081089 92.0034329891 88.8171598911 114.65377903 132.63907814 146.52885294 152.707020044 192.202769995 226.536538124 229.565698862 259.670410872 301.857478142 333.83723712 44.8258509636 28
treecut2sat c15x15 30 225 15 28 0 0 False 4914.51627612 0.0698959827423 30 1 453.430092096 4453.85622716 3.182970047 7.17931413651 8.78575110435 13.7206981182 17.3104829788 23.0351219177 25.9059588909 29.1373000145 37.994562149 44.1588380337 56.8155908585 64.1449000835 84.3490729332 125.594949007 158.685252905 186.09355092 196.841606855 275.280082941 281.463914871 290.081129074 347.979604959 367.030770063 398.075858116 413.585128069 430.945564032 527.134083986 39.3441700935 30
treecut2sat c20x20 40 400 20 -1 44 0 True 7317.26326895 0.124269008636 40 1 3281.12944198 4035.8565526 4.53656888008 8.00865483284 22.6632611752 22.843296051 53.0628061295 57.9462652206 109.944297075 118.767261982 136.856492996 181.200855017 252.278937101 278.270703793 278.7205019 379.928677082 435.97468996 416.275978088 424.194118977 534.147176981 14.8844549656 13.1153330803 13.6614449024 13.933216095 13.6312530041 18.9443209171 13.8525168896 12.1038320065 12.0827970505 12.2185900211 11.4351181984 12.5935280323 11.436934948 11.3188347816 10.9662621021 11.0400578976 11.0860791206 11.0919260979 11.1059930325 11.6696119308 11.1701848507 11.9812011719 11.3907279968 11.3502831459 11.1589181423 11.0125889778 40
treecut2sat c21x21 42 441 21 -1 46 0 True 7008.70132995 0.137041807175 42 1 4309.9879806 2698.41494274 5.49696207047 13.0194358826 28.7724561691 48.4968500137 60.8355119228 85.5041460991 119.040695906 170.668699026 186.49576211 216.354176044 290.363517046 328.566421032 365.087126017 396.930845022 11.6396160126 14.000674963 13.3065669537 13.8212449551 15.8919699192 15.5035820007 12.0300290585 12.0584750175 11.7002401352 11.2475011349 11.03353405 12.6722841263 12.2565100193 11.743129015 10.7600140572 11.7735979557 10.8259630203 11.9764580727 10.852312088 11.6448800564 10.5172188282 11.1651182175 10.4958519936 10.8664779663 10.531578064 12.7511949539 12.0876271725 12.3971788883 11.6406359673 10.4626197815 10.5309009552 12.5973529816 42
treecut2sat c22x22 44 484 22
treecut2sat c23x23 46 529 23
treecut2sat c24x24 48 576 24
treecut2sat c25x25 50 625 25
treecut2sat c26x26 52 676 26
treecut2sat c27x27 54 729 27
treecut2sat c28x28 56 784 28
treecut2sat c29x29 58 841 29
treecut2sat c30x30 60 900 30
treecut2sat c31x31 62 961 31
treecut2sat c32x32 64 1024 32
treecut2sat c33x33 66 1089 33
treecut2sat c34x34 68 1156 34
treecut2sat c35x35 70 1225 35
treecut2sat c36x36 72 1296 36
treecut2sat c37x37 74 1369 37
treecut2sat c38x38 76 1444 38
treecut2sat c39x39 78 1521 39
treecut2sat c3x3 6 9 3 4 0 0 False 0.118791103363 0.00175905227661 6 1 0.0488829612732 0.0586218833923 0.0098569393158 0.0221168994904 0.0266480445862 6
treecut2sat c40x40 80 1600 40
treecut2sat c41x41 82 1681 41
treecut2sat c42x42 84 1764 42
treecut2sat c43x43 86 1849 43
treecut2sat c44x44 88 1936 44
treecut2sat c45x45 90 2025 45
treecut2sat c46x46 92 2116 46
treecut2sat c47x47 94 2209 47
treecut2sat c48x48 96 2304 48
treecut2sat c49x49 98 2401 49
treecut2sat c4x4 8 16 4 6 0 0 False 0.40022611618 0.00181603431702 8 1 0.147878170013 0.232757329941 0.0194461345673 0.0704550743103 0.0416090488434 0.0520858764648 0.049161195755 8
treecut2sat c5x5 10 25 5 8 0 0 False 2.26228117943 0.00474095344543 10 1 1.06236171722 1.14859938622 0.0437371730804 0.0983979701996 0.133652925491 0.175770998001 0.234377145767 0.26719212532 0.195471048355 10
treecut2sat c6x6 12 36 6 10 0 0 False 5.78709983826 0.0045599937439 12 1 2.1245932579 3.57271504402 0.0689580440521 0.157464027405 0.205596923828 0.346780061722 0.471807956696 0.485651016235 0.599915027618 0.819523096085 0.417018890381 12
treecut2sat c7x7 14 49 7 12 0 0 False 15.514206171 0.0110919475555 14 1 5.24426627159 10.0544400215 0.178918838501 0.33060002327 0.452023029327 0.613300085068 0.760723114014 0.988124132156 0.959081888199 1.06707215309 1.48639988899 2.13010597229 1.08809089661 14
treecut2sat c8x8 16 64 8 14 0 0 False 35.8216679096 0.00868606567383 16 1 10.8255562782 24.6782901287 0.315092086792 0.53501701355 0.665776968002 0.85555100441 1.0766851902 1.40952110291 1.88115096092 2.09387302399 3.13805198669 2.96315383911 3.47139692307 4.38210582733 1.89091420174 16
treecut2sat c9x9 18 81 9 16 0 0 False 86.1720430851 0.0200800895691 18 1 22.3235664368 63.3111579418 0.333754062653 0.839437961578 1.10767316818 1.57110309601 2.23541307449 2.64563894272 2.86157083511 3.65300607681 4.47066497803 5.21739506721 6.4756770134 7.68924880028 10.1097021103 10.2210268974 3.87984585762 18
