,,,,,,,,,,,,,,,,,,,,,,,,,,,,
treecut2sat,Petersen,10,15,3,5,0,0,False,0.71,0.0023860931,10,1,0.2711856365,0.4143054485,0.0412251949,0.0939199924,0.217851162,0.0613090992,10,,,,,,,,,
treecut2sat,Pmin,9,12,3,4,0,0,False,0.13,0.0041971207,6,1,0.0462429523,0.0646266937,0.0092029572,0.0309817791,0.0244419575,6,,,,,,,,,,
treecut2sat,Poussin,15,39,6,9,0,0,False,22.36,0.009622097,15,1,4.6298570633,17.5403699875,0.1254360676,0.2926120758,0.4524760246,0.6393561363,0.8554809093,1.1619689465,13.3128819466,0.7001578808,15,,,,,
treecut2sat,Prism,6,9,3,4,0,0,False,0.13,0.0010409355,6,1,0.0460929871,0.0770988464,0.011605978,0.0326240063,0.0328688622,6,,,,,,,,,,
treecut2sat,Robertson,19,38,4,8,0,0,False,42.64,0.011166811,19,1,4.3473594189,38.1179270744,0.3021929264,0.6360509396,0.9490871429,1.1919929981,10.3324460983,23.8953580856,0.8107988834,19,,,,,,
treecut2sat,Shrikhande,16,48,6,10,0,0,False,18.86,0.0119149685,16,1,8.2231047154,10.3681182861,0.2171630859,0.4620709419,0.633259058,0.7745380402,1.064453125,1.3994450569,1.8600718975,2.6708478928,1.2862691879,16,,,,
treecut2sat,Sousselier,16,27,5,6,0,0,False,6.31,0.0096709728,16,1,1.5705814362,4.61810565,0.1243140697,0.2798349857,0.6124298573,3.1623108387,0.4392158985,16,,,,,,,,
treecut2sat,Tietze,12,18,3,5,0,0,False,1.20,0.006980896,12,1,0.4536087513,0.7033257484,0.0459368229,0.1199970245,0.4181809425,0.1192109585,12,,,,,,,,,
treecut2sat,Wagner,8,12,3,4,0,0,False,0.21,0.0016479492,8,1,0.0673232079,0.134827137,0.0132050514,0.0781459808,0.0434761047,8,,,,,,,,,,
treecut2sat,Watsin,50,75,3,5,0,0,False,202.49,0.0392160416,50,1,42.0272672176,157.723909855,7.8648068905,26.2500240803,85.7148249149,37.8942539692,50,,,,,,,,,
